order,part,title,status,source_file,book_file,brunch_file,image_count,image_reference_count,image_candidate_count,image_candidates,needs_image,needs_review,issues
12,Part 3. 개인 AI 운영체계,Active Package와 Cold Storage,draft,CNC_gpt/manuscript/11_Active Package와 Cold Storage.md,cnc_book_manuscript/12_Active_Package와_Cold_Storage.md,brunch/posts/12_Active_Package와_Cold_Storage.md,4,0,4,CNC_gpt/image/11/Pasted Image (1).png; CNC_gpt/image/11/Pasted Image (2).png; CNC_gpt/image/11/Pasted Image (3).png; CNC_gpt/image/11/Pasted Image.png,NO,YES,
13,Part 4. 업무를 재배치하다,"나는 OCR을 했고, 왕조교는 분류했고, 원장은 판단했다",draft,CNC_gpt/manuscript/12_AI 업무 재배치 모델.md,"cnc_book_manuscript/13_나는_OCR을_했고,_왕조교는_분류했고,_원장은_판단했다.md","brunch/posts/13_나는_OCR을_했고,_왕조교는_분류했고,_원장은_판단했다.md",4,0,4,CNC_gpt/image/12/Pasted Image (1).png; CNC_gpt/image/12/Pasted Image (2).png; CNC_gpt/image/12/Pasted Image (3).png; CNC_gpt/image/12/Pasted Image.png,NO,YES,
14,Part 4. 업무를 재배치하다,LLM은 왕이 아니라 Adapter다,draft,CNC_gpt/manuscript/14_LLM은 Universal Adapter다.md,cnc_book_manuscript/14_LLM은_왕이_아니라_Adapter다.md,brunch/posts/14_LLM은_왕이_아니라_Adapter다.md,4,0,4,CNC_gpt/image/14/1.png; CNC_gpt/image/14/2.png; CNC_gpt/image/14/3.png; CNC_gpt/image/14/4.png,NO,YES,
15,Part 4. 업무를 재배치하다,Raw Layer를 읽지 않는 시대,draft,CNC_gpt/manuscript/15_Raw Layer를 읽지 않는 시대.md,cnc_book_manuscript/15_Raw_Layer를_읽지_않는_시대.md,brunch/posts/15_Raw_Layer를_읽지_않는_시대.md,4,0,4,CNC_gpt/image/15/Pasted Image (1).png; CNC_gpt/image/15/Pasted Image (2).png; CNC_gpt/image/15/Pasted Image (3).png; CNC_gpt/image/15/Pasted Image.png,NO,YES,
16,Part 5. 자동화의 경계선,자동화의 핵심은 자동화하지 않을 것을 정하는 일이다,draft,CNC_gpt/manuscript/16_자동화의 핵심은 자동화하지 않을 것을 정하는 일이다.md,cnc_book_manuscript/16_자동화의_핵심은_자동화하지_않을_것을_정하는_일이다.md,brunch/posts/16_자동화의_핵심은_자동화하지_않을_것을_정하는_일이다.md,4,0,4,CNC_gpt/image/16/1.png; CNC_gpt/image/16/2.png; CNC_gpt/image/16/3.png; CNC_gpt/image/16/4.png,NO,YES,
17,Part 5. 자동화의 경계선,Human-in-the-loop는 장식이 아니다,draft,CNC_gpt/manuscript/17_Human-in-the-loop는 장식이 아니다.md,cnc_book_manuscript/17_Human-in-the-loop는_장식이_아니다.md,brunch/posts/17_Human-in-the-loop는_장식이_아니다.md,4,0,4,CNC_gpt/image/17/Pasted Image (1).png; CNC_gpt/image/17/Pasted Image (2).png; CNC_gpt/image/17/Pasted Image (3).png; CNC_gpt/image/17/Pasted Image.png,NO,YES,
18,Part 6. 평균 밖의 인간,Neurodivergent 사고는 평균 밖의 안테나다,draft,CNC_gpt/manuscript/18_Neurodivergent 사고는 평균 밖의 안테나다.md,cnc_book_manuscript/18_Neurodivergent_사고는_평균_밖의_안테나다.md,brunch/posts/18_Neurodivergent_사고는_평균_밖의_안테나다.md,4,0,4,CNC_gpt/image/18/Pasted Image (1).png; CNC_gpt/image/18/Pasted Image (2).png; CNC_gpt/image/18/Pasted Image (3).png; CNC_gpt/image/18/Pasted Image.png,NO,YES,
19,Part 6. 평균 밖의 인간,"발산은 AI에게, 실행은 좁힌다",draft,"CNC_gpt/manuscript/19_발산은 AI에게, 실행은 좁힌다.md","cnc_book_manuscript/19_발산은_AI에게,_실행은_좁힌다.md","brunch/posts/19_발산은_AI에게,_실행은_좁힌다.md",4,0,4,CNC_gpt/image/19/Pasted Image (1).png; CNC_gpt/image/19/Pasted Image (2).png; CNC_gpt/image/19/Pasted Image (3).png; CNC_gpt/image/19/Pasted Image.png,NO,YES,
20,Part 6. 평균 밖의 인간,AI 시대의 의사: 판단보다 책임이 남는다,draft,"CNC_gpt/manuscript/20_AI 시대의 의사, 판단보다 책임이 남는다.md",cnc_book_manuscript/20_AI_시대의_의사__판단보다_책임이_남는다.md,brunch/posts/20_AI_시대의_의사__판단보다_책임이_남는다.md,4,0,4,CNC_gpt/image/20/1.png; CNC_gpt/image/20/2.png; CNC_gpt/image/20/3.png; CNC_gpt/image/20/4.png,NO,YES,
21,에필로그,"춘식이는 귀엽지만, 버튼은 내가 누른다",draft,"CNC_gpt/manuscript/21_춘식이는 귀엽지만, 버튼은 내가 누른다.md","cnc_book_manuscript/21_춘식이는_귀엽지만,_버튼은_내가_누른다.md","brunch/posts/21_춘식이는_귀엽지만,_버튼은_내가_누른다.md",2,0,2,CNC_gpt/image/21/1.png; CNC_gpt/image/21/2.png,NO,YES,
